# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, -0.3134929, 0.7076762, -1.1404156, -0.0055632, 22.9782664, 3.3199973
0.9999284, 0.5964590, 1.1224598, -1.1457009, -0.0050069, 23.1222889, 3.2950991
1.9998569, 1.5083872, 1.5326421, -1.1504293, -0.0044506, 23.2643498, 3.2703876
2.9997853, 2.4220326, 1.9387181, -1.1546011, -0.0038944, 23.4044927, 3.2458615
3.9997137, 3.3374582, 2.3413276, -1.1582070, -0.0033169, 23.5427598, 3.2215192
4.9996422, 4.2541036, 2.7408504, -1.1612347, -0.0027389, 23.6791916, 3.1973596
5.9995706, 5.1717278, 3.1378129, -1.1636841, -0.0021607, 23.8138274, 3.1733811
6.9994991, 6.0904068, 3.5328761, -1.1655601, -0.0015913, 23.9467051, 3.1495824
7.9994275, 7.0096199, 3.9264371, -1.1668665, -0.0010215, 24.0778612, 3.1259623
8.9993559, 7.9291599, 4.3190271, -1.1676028, -0.0004514, 24.2073310, 3.1025192
9.9992844, 8.8490140, 4.7111892, -1.1679666, -0.0002778, 24.3351488, 3.0792520
10.9992128, 9.7689405, 5.1030803, -1.1681585, -0.0001060, 24.4613477, 3.0561593
11.9991412, 10.6888903, 5.4948660, -1.1681785, 0.0000659, 24.5859597, 3.0332397
12.9990697, 11.6088485, 5.8866982, -1.1681064, 0.0000777, 24.7090157, 3.0104920
13.9989981, 12.5287768, 6.2786021, -1.1680231, 0.0000888, 24.8305459, 2.9879150
14.9989266, 13.4486709, 6.6705880, -1.1679288, 0.0000999, 24.9505794, 2.9655072
15.9988550, 14.3685257, 7.0626630, -1.1678307, 0.0000962, 25.0691445, 2.9432675
16.9987834, 15.2883433, 7.4548268, -1.1677363, 0.0000925, 25.1862684, 2.9211946
17.9987119, 16.2081252, 7.8470759, -1.1676458, 0.0000887, 25.3019780, 2.8992872
18.9986403, 17.1278711, 8.2394060, -1.1675590, 0.0000849, 25.4162989, 2.8775441
19.9985687, 18.0475844, 8.6318145, -1.1674760, 0.0000811, 25.5292562, 2.8559640
20.9984972, 18.9672664, 9.0242979, -1.1673967, 0.0000774, 25.6408745, 2.8345458
21.9984256, 19.8869168, 9.4168518, -1.1673212, 0.0000736, 25.7511773, 2.8132883
22.9983541, 20.8065390, 9.8094738, -1.1672495, 0.0000698, 25.8601876, 2.7921901
23.9982825, 21.7261344, 10.2021602, -1.1671816, 0.0000660, 25.9679280, 2.7712502
24.9982109, 22.6457025, 10.5949067, -1.1671174, 0.0000623, 26.0744202, 2.7504673
25.9981394, 23.5652468, 10.9877108, -1.1670571, 0.0000585, 26.1796854, 2.7298403
26.9980678, 24.4847689, 11.3805690, -1.1670004, 0.0000547, 26.2837444, 2.7093679
27.9979962, 25.4042680, 11.7734770, -1.1669476, 0.0000510, 26.3866172, 2.6890491
28.9979247, 26.3237479, 12.1664320, -1.1668985, 0.0000472, 26.4883235, 2.6688827
29.9978531, 27.2432099, 12.5594308, -1.1668532, 0.0000434, 26.5888823, 2.6488675
30.9977816, 28.1626534, 12.9524689, -1.1668117, 0.0000396, 26.6883124, 2.6290024
31.9977100, 29.0820820, 13.3455437, -1.1667739, 0.0000359, 26.7866319, 2.6092863
32.9976384, 30.0014974, 13.7386519, -1.1667400, 0.0000321, 26.8838585, 2.5897181
33.9975669, 30.9208985, 14.1317889, -1.1667097, 0.0000283, 26.9800095, 2.5702966
34.9974953, 31.8402893, 14.5249523, -1.1666833, 0.0000246, 27.0751018, 2.5510207
35.9974237, 32.7596712, 14.9181386, -1.1666606, 0.0000208, 27.1691519, 2.5318894
36.9973522, 33.6790434, 15.3113433, -1.1666417, 0.0000170, 27.2621758, 2.5129016
